Tehtävän numero;Nimi;Suorituspaikka;Suoritusohje
LÄHTÖ;LÄHTÖ; (A); Koira seuraa ohjaajaa lähtökyltille. Ohjaajan pysähtyessä koira istuu ohjaajan viereen. Koirakko lähtee suorittamaan rataa.
MAALI;MAALI; (A); Tarvittaessa koirakko siirtyy normaalikäyntiin. Rata päättyy, kun koirakko ohittaa kyltin. Koirakko poistuu kilpailukehästä normaalikäyntiä.
101;MAAHAN; (A); Ohjaajan pysähtyessä koira menee maahan ohjaajan viereen. Koira pysyy maassa, kunnes koirakko lähtee liikkeelle.
102;ISTU, MAAHAN; (A); Ohjaajan pysähtyessä koira istuu ohjaajan viereen. Koira menee maahan. Koira pysyy maassa, kunnes koirakko lähtee liikkeelle.
103;ISTU, KIERRÄ KOIRA; (A); Ohjaajan pysähtyessä koira istuu ohjaajan viereen. Koira jää istumaan ja ohjaaja kiertää koiran ympäri etukautta, palaa koiran viereen ja pysähtyy.
104;ISTU, MAAHAN, KIERRÄ KOIRA; (A); Ohjaajan pysähtyessä koira istuu ohjaajan viereen, josta menee maahan. Koira jää maahan ja ohjaaja kiertää koiran ympäri etukautta, palaa koiran viereen ja pysähtyy. Koira pysyy maassa, kunnes koirakko lähtee liikkeelle.
105;TÄYSKÄÄNNÖS OIKEAAN; (B); Koirakko tekee yhdessä tiiviin täyskäännöksen oikeaan.
106;TÄYSKÄÄNNÖS VASEMPAAN; (B); Koirakko tekee yhdessä tiiviin täyskäännöksen vasempaan.
107;SILMUKKA OIKEAAN; (B); Koirakko tekee yhdessä tiiviin käännöksen oikeaan ylittäen saapumislinjansa. Käännöksen kulman pitää olla 180° ja 270° välillä.
108;SILMUKKA VASEMPAAN; (B); Koirakko tekee yhdessä tiiviin käännöksen vasempaan ylittäen saapumislinjansa. Käännöksen kulman pitää olla 180° ja 270° välillä.
109;270° OIKEAAN; (B); Koirakko tekee yhdessä tiiviin 270° käännöksen oikeaan.
110;270° VASEMPAAN; (B); Koirakko tekee yhdessä tiiviin 270° käännöksen vasempaan.
111;360° OIKEAAN; (A); Koirakko tekee yhdessä tiiviin 360° käännöksen oikeaan. Koirakko säilyttää alkuperäisen kulkusuuntansa.
112;360° VASEMPAAN; (A); Koirakko tekee yhdessä tiiviin 360° käännöksen vasempaan. Koirakko säilyttää alkuperäisen kulkusuuntansa.
113;TÄYSKÄÄNNÖS, KOIRA TAKAA; (B); Ohjaaja tekee täyskäännöksen koiraa kohti koiran kiertäessä ohjaajan takaa.
114;ISTU, KÄÄNNÖS OIKEAAN, ISTU; (B); Ohjaajan pysähtyessä koira istuu ohjaajan viereen. Koirakko tekee yhdessä käännöksen oikeaan, pysähtyy ja koira istuu.
115;ISTU, KÄÄNNÖS VASEMPAAN, ISTU; (B); Ohjaajan pysähtyessä koira istuu ohjaajan viereen. Koirakko tekee yhdessä käännöksen vasempaan, pysähtyy ja koira istuu.
116;HIDASTA KÄYNTIÄ; (A); Koirakko hidastaa kulkutahtiaan huomattavasti. Hitaan tahdin tulee säilyä, kunnes koirakko saapuu toiselle tahdinmuutos- tai maalikyltille.
117;JUOSTEN; (A); Koirakko lisää kulkutahtiaan huomattavasti. Nopean tahdin tulee säilyä, kunnes koirakko saapuu toiselle tahdinmuutos- tai maalikyltille.
118;NORMAALIKÄYNTIÄ; (A); Koirakko palaa normaaliin kulkutahtiin.
119;SPIRAALI OIKEAAN; (B); Kolme kartiota on asetettu suoraan linjaan 1,5–2,5 metrin etäisyydelle toisistaan. Koirakko kiertää vasemmalta puolelta ensin kolme kartiota, sitten lähimmät kaksi ja viimeisenä lähimmän kartion.
120;SPIRAALI VASEMPAAN; (B); Kolme kartiota on asetettu suoraan linjaan 1,5–2,5 metrin etäisyydelle toisistaan. Koirakko kiertää oikealta puolelta ensin kolme kartiota, sitten lähimmät kaksi ja viimeisenä lähimmän kartion.
121;PUJOTTELU; (B); Neljä kartiota on asetettu suoraan linjaan 1,5–2,5 metrin etäisyydelle toisistaan. Koirakko pujottelee kartioiden välistä aloittaen suorituksen siten, että ensimmäinen kartio jää koirakon vasemmalle puolelle.
122;PUJOTTELU EDESTAKAISIN; (B); Neljä kartiota on asetettu suoraan linjaan 1,5–2,5 metrin etäisyydelle toisistaan. Koirakko pujottelee edestakaisin kartioiden välistä aloittaen suorituksen siten, että ensimmäinen kartio jää koirakon vasemmalle puolelle.
123;KÄÄNNÖS OIKEAAN; (B); Koirakko tekee yhdessä tiiviin käännöksen oikeaan.
